Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Austria,8507786,8584926,8700471,8772865,8822267,8858775,8901064,8932664,8978929,9104772,9158750,9197213
Belgium,11180840,11237274,11311117,11351727,11398589,11455519,11522440,11554767,11617623,11742796,11817096,11900123
Bulgaria,7117453,7029690,6938759,6849518,6757418,6664177,6569275,6532117,6482484,6447710,6445481,6437360
Croatia,4217632,4180915,4131115,4078769,4014341,3968676,3933511,3893026,3862305,3850894,3861967,3874350
Cyprus,860032,860846,863764,869878,878601,890194,902429,914476,929764,949084,966365,979865
Czechia,10512419,10538275,10553843,10578820,10610055,10649800,10693939,10494836,10516707,10827529,10900555,10909500
Denmark,5627235,5659715,5707251,5748769,5781190,5806081,5822763,5840045,5873420,5932654,5961249,5992734
Estonia,1315819,1314870,1315944,1315635,1319133,1324820,1328976,1330068,1331796,1365884,1374687,1369995
European Union,442268078,442924865,444003268,444670605,445301376,446149924,447030024,445891011,445998928,447704445,449309618,450380320
Finland,5451270,5471753,5487308,5503297,5513130,5517919,5525292,5533793,5548241,5563970,5603851,5635971
France,66165980,66458153,66638391,66809816,67026224,67290471,67473651,67728568,68091703,68277210,68467362,68635943
Germany,80767463,81197537,82175684,82521653,82792351,83019213,83166711,83155031,83237124,83118501,83456045,83577140
Greece,10926807,10858018,10783748,10768193,10741165,10724599,10718565,10678632,10461627,10413982,10400720,10409547
Hungary,9850217,9815858,9779652,9739857,9713655,9700272,9689376,9651461,9610403,9599744,9584627,9539502
Ireland,4637852,4677627,4726286,4799157,4855733,4940311,5012600,5066893,5154277,5271395,5351681,5439898
Italy,60345917,60295497,60163712,60066734,59937769,59816673,59641488,59236213,59030133,58997201,58971230,58934177
Latvia,2001468,1986096,1968957,1950116,1934379,1919968,1907675,1893223,1875757,1892103,1875316,1856932
Lithuania,2947862,2926644,2895573,2859077,2826200,2812200,2809977,2810761,2805998,2857279,2885891,2890664
Luxembourg,549680,562958,576249,590667,602005,613894,626108,634730,645397,660809,672050,681973
Malta,428156,438805,449635,459375,474837,492968,514855,516125,520174,542051,563443,574250
Netherlands,16829289,16900726,16979120,17081507,17181084,17282163,17407585,17475415,17590672,17811291,17942942,18044027
Poland,38017856,38005614,37967209,37972964,37976687,37972812,37958138,37073357,36889761,36753736,36620970,36497495
Portugal,10444092,10395121,10368554,10344478,10335770,10333496,10375395,10394297,10421117,10516621,10639726,10749635
Romania,19947311,19870647,19760585,19643949,19533481,19414458,19328838,19201662,19042455,19054548,19067576,19036031
Slovakia,5415949,5421349,5426252,5435343,5443120,5450421,5457873,5459781,5434712,5428792,5424687,5419451
Slovenia,2061085,2062874,2064188,2065895,2066880,2080908,2095861,2108977,2107180,2116972,2123949,2130850
Spain,46495744,46425722,46418884,46497393,46645070,46918951,47318050,47400798,47486843,48085361,48619695,49077984
Sweden,9644864,9747355,9851017,9995153,10120242,10230185,10327589,10379295,10452326,10521556,10551707,10587710
