Year,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unknown
2001,1814,1587,1034,789,374,175,105,62,33,16,9,8,7,2,,,1,20
2002,1570,1526,803,356,147,85,87,37,19,10,2,5,3,,1,,2,3
2003,289,262,112,48,26,12,9,5,5,6,1,2,,,,,,
2004,60,17,8,11,2,8,4,2,7,1,2,,1,,,,,
2005,207,250,136,56,37,31,18,27,7,6,1,2,2,1,,,,
2006,537,445,515,375,135,110,60,62,26,13,11,8,5,3,,,3,
2007,125,123,116,68,39,32,28,21,11,,1,2,,,,,,
2008,198,210,214,138,44,41,23,23,8,5,3,3,1,,,,,1
2009,165,83,72,74,56,49,33,18,14,3,2,1,,,2,,,
2010,130,127,179,133,64,45,40,27,21,7,3,1,2,1,,,,
2011,312,297,344,216,129,99,73,51,51,20,7,1,2,1,1,1,1,
2012,32,16,19,33,13,11,17,8,8,2,2,1,1,2,,,,
2013,304,218,297,277,149,145,129,98,74,52,18,5,1,,,,1,1
2014,111,52,45,59,47,38,34,22,16,7,6,3,1,,1,,,
2015,599,285,322,337,232,187,167,137,80,62,42,7,,2,1,3,,2
2016,102,52,29,34,30,25,13,16,9,8,3,2,3,,,,1,
2017,296,90,81,113,76,69,73,58,16,27,14,7,4,2,,,,
2018,120,46,55,68,64,58,40,35,19,19,12,7,,1,1,,,
2019,99,38,46,55,73,49,45,38,31,22,13,4,,1,,,2,
2020,13,10,5,11,5,5,7,7,7,1,5,,,,,,,
2021,2,1,,3,,1,,,,1,,,,,,,,
2022,9,,1,2,1,1,,,,,1,,,,,,,
2023,24,15,6,4,,4,4,7,7,5,2,1,,,,,,
2024,196,105,84,73,58,38,31,19,13,12,7,2,4,2,,1,,
2025,62,27,24,20,21,19,15,15,11,9,5,3,1,,,,,
2026,5,3,,,7,2,,1,2,1,,,,,,,,
